place,lat,lon
79,10.976000000000003,75.95
17,10.93,76.11
27,10.91,75.98
57,10.955,75.945
49,10.92,75.98
68,10.96,75.99
21,10.92,75.955
2,10.97,76.22
41,10.91,75.97
10,10.98,75.98
8,10.97,75.96
78,10.976000000000003,75.95
13,10.98,75.99
4,10.9,75.99
2,10.97,76.22
22,10.92,75.97
2,10.97,76.22
54,11.073333333333332,75.94
76,10.976000000000003,75.95
21,10.92,75.955
30,10.96,75.99
42,10.995000000000001,75.91
67,11.04,75.92
83,11.19,76.24
66,10.99,75.94
15,10.96,75.94
12,10.945,75.955
21,10.92,75.955
39,11.06,76.28
74,11.03,75.92
47,10.98,75.94
13,10.98,75.99
79,10.976000000000003,75.95
11,10.945,75.955
21,10.92,75.955
16,11.21,76.14
61,11.24,75.815
39,11.06,76.28
60,11.24,75.815
17,10.93,76.11
52,10.97,75.94
13,10.98,75.99
6,11.1,76.14
60,11.24,75.815
21,10.92,75.955
18,10.93,76.11
77,10.976000000000003,75.95
2,10.97,76.22
69,11.15,76.12
47,10.98,75.94
64,10.97,75.92
11,10.945,75.955
45,11.1,75.92
43,10.995000000000001,75.91
61,11.24,75.815
62,10.99,75.98
38,11.12,76.12
73,10.945,75.97
51,10.89,76.19
30,10.96,75.99
65,10.395,76.13
60,11.24,75.815
80,10.976000000000003,75.95
68,10.96,75.99
29,10.99,75.94
29,10.99,75.94
64,10.97,75.92
70,11.12,76.28
26,10.93,75.95
37,10.99,75.93
38,11.12,76.12
21,10.92,75.955
25,10.89,75.99
46,10.98,75.94
60,11.24,75.815
61,11.24,75.815
61,11.24,75.815
35,10.98,75.97
28,10.99,75.94
4,10.9,75.99
41,10.91,75.97
37,10.99,75.93
21,10.92,75.955
19,10.93,75.94
79,10.976000000000003,75.95
7,11.23,76.05
65,10.395,76.13
70,11.12,76.28
33,11.0,76.01
46,10.98,75.94
51,10.89,76.19
13,10.98,75.99
33,11.0,76.01
44,11.1,75.92
25,10.89,75.99
61,11.24,75.815
25,10.89,75.99
1,10.99,75.97
77,10.976000000000003,75.95
83,11.19,76.24
6,11.1,76.14
55,11.073333333333332,75.94
80,10.976000000000003,75.95
52,10.97,75.94
40,11.06,76.28
81,10.92,75.95
11,10.945,75.955
61,11.24,75.815
81,10.92,75.95
15,10.96,75.94
40,11.06,76.28
64,10.97,75.92
55,11.073333333333332,75.94
70,11.12,76.28
81,10.92,75.95
70,11.12,76.28
27,10.91,75.98
18,10.93,76.11
78,10.976000000000003,75.95
56,10.955,75.945
15,10.96,75.94
3,10.97,76.22
43,10.995000000000001,75.91
5,11.705,75.57
76,10.976000000000003,75.95
18,10.93,76.11
10,10.98,75.98
5,11.705,75.57
36,11.04,76.08
26,10.93,75.95
4,10.9,75.99
84,11.19,76.24
39,11.06,76.28
51,10.89,76.19
0,10.91,75.98
65,10.395,76.13
65,10.395,76.13
20,10.92,75.955
16,11.21,76.14
65,10.395,76.13
75,11.18,76.25
68,10.96,75.99
58,11.518571428571429,75.70857142857143
65,10.395,76.13
54,11.073333333333332,75.94
8,10.97,75.96
3,10.97,76.22
9,10.93,75.98
44,11.1,75.92
1,10.99,75.97
64,10.97,75.92
18,10.93,76.11
18,10.93,76.11
56,10.955,75.945
8,10.97,75.96
50,10.93,75.99
13,10.98,75.99
36,11.04,76.08
37,10.99,75.93
27,10.91,75.98
54,11.073333333333332,75.94
28,10.99,75.94
2,10.97,76.22
52,10.97,75.94
50,10.93,75.99
33,11.0,76.01
57,10.955,75.945
70,11.12,76.28
82,10.91,75.96
29,10.99,75.94
30,10.96,75.99
51,10.89,76.19
3,10.97,76.22
54,11.073333333333332,75.94
25,10.89,75.99
31,11.14,75.97
5,11.705,75.57
47,10.98,75.94
1,10.99,75.97
20,10.92,75.955
32,11.14,75.97
35,10.98,75.97
28,10.99,75.94
32,11.14,75.97
42,10.995000000000001,75.91
65,10.395,76.13
41,10.91,75.97
12,10.945,75.955
66,10.99,75.94
54,11.073333333333332,75.94
58,11.518571428571429,75.70857142857143
75,11.18,76.25
72,10.945,75.97
