Name,What,Region,Country,Lat,Long,Elev ft.,Pop est
Achankovil,city,Kerala,India,9.09,77.12,367,44025
Adarapalli,city,Kerala,India,10.28,76.57,830,42068
Adekala,city,Kerala,India,12.77,74.97,236,63774
Adiccheri,city,Kerala,India,12.01,75.48,114,73500
Adirapalli,city,Kerala,India,10.28,76.57,830,42068
Adiyadka,city,Kerala,India,12.46,75.05,246,59986
Adiyur,city,Kerala,India,11.67,75.58,39,111765
Adkamola,city,Kerala,India,12.44,75.16,305,53044
Adkatbail,city,Kerala,India,12.45,75.05,183,55907
Adkatbiailu,city,Kerala,India,12.51,74.98,49,56580
Adkatodi,city,Kerala,India,12.53,75.17,830,53044
Adukkatt,city,Kerala,India,11.65,75.77,167,113705
Adur,city,Kerala,India,11.84,75.44,104,28566
Adur,city,Kerala,India,12.03,75.5,167,66500
Adur,city,Kerala,India,12.55,75.19,282,51677
Adur Kasba,city,Kerala,India,12.56,75.23,321,48735
Aduru,city,Kerala,India,12.55,75.19,282,51677
Adurumale,city,Kerala,India,12.54,75.18,216,52529
Aduvad,city,Kerala,India,11.27,75.95,95,43963
Advala,city,Kerala,India,12.58,75.17,406,51748
Adyal,city,Kerala,India,12.32,75.07,68,57038
Adur,city,Kerala,India,9.17,76.73,134,201391
Agalpadi,city,Kerala,India,12.57,75.1,334,53044
Agalad,city,Kerala,India,10.64,75.98,9,62360
Aggimatai,city,Kerala,India,11.85,75.76,892,40845
Airyur,city,Kerala,India,10.63,76,26,76285
Aithara,city,Kerala,India,11.87,75.61,206,49109
Aiyangal,city,Kerala,India,12.36,75.18,830,55889
Aiyangal,city,Kerala,India,12.41,75.24,830,56225
Aiyarote,city,Kerala,India,12.42,75.21,830,54337
Ajanur,city,Kerala,India,12.34,75.09,59,74216
Ajanur,city,Kerala,India,12.34,75.08,45,65822
Akkapadi,city,Kerala,India,12.57,75.29,298,37067
Akkattettar,city,Kerala,India,10.83,76.6,334,79456
Alakode,city,Kerala,India,12.39,75.07,124,52288
Alanallur,city,Kerala,India,11.01,76.35,219,70510
Alandatte,city,Kerala,India,12.26,75.2,200,58815
Alangattukavu,city,Kerala,India,10.82,75.99,16,223874
Alanthangad,city,Kerala,India,12.48,75.24,830,53447
Alapalli,city,Kerala,India,9.49,76.33,6,130822
Alapolai,city,Kerala,India,9.49,76.33,6,130822
Alappula,city,Kerala,India,9.49,76.33,6,130822
Alappuzha,city,Kerala,India,9.49,76.33,6,130822
Alapulai,city,Kerala,India,9.49,76.33,6,130822
Alattadi,city,Kerala,India,12.33,75.2,200,58076
Alattiyur,city,Kerala,India,10.86,75.94,32,175057
Alattur,city,Kerala,India,10.65,76.53,351,90097
Alatur,city,Kerala,India,10.65,76.53,351,90097
Alcheri,city,Kerala,India,11.87,75.67,252,40975
Aleppey,city,Kerala,India,9.49,76.33,6,130822
Aleppi,city,Kerala,India,9.49,76.33,6,130822
Aliyadu,city,Kerala,India,11.93,75.66,305,48765
Alkot,city,Kerala,India,12.4,75.08,104,59073
Allapuza,city,Kerala,India,9.49,76.33,6,130822
Alleppey,city,Kerala,India,9.49,76.33,6,130822
Alleppi,city,Kerala,India,9.49,76.33,6,130822
Aluva,city,Kerala,India,10.1,76.36,36,256177
Alwaye,city,Kerala,India,10.1,76.36,36,256177
Amadipalla,city,Kerala,India,12.57,75.21,259,49228
Ambalapulai,city,Kerala,India,9.4,76.37,16,40621
Ambalapuzha,city,Kerala,India,9.4,76.37,16,40621
Ambilikunnu,city,Kerala,India,11.66,75.69,308,150215
Ambladi,city,Kerala,India,12.43,75.17,147,53046
Ame,city,Kerala,India,12.49,75.19,830,53044
Ameya,city,Kerala,India,12.5,75,45,69356
Ammagote,city,Kerala,India,12.47,75.16,830,53044
Anantavur,city,Kerala,India,10.91,75.98,127,183764
Anapadi,city,Kerala,India,12.32,75.22,226,58653
Anchal,city,Kerala,India,8.9,76.9,226,59627
Andalur,city,Kerala,India,11.79,75.48,3,56294
Andathode,city,Kerala,India,10.68,75.97,6,59542
Andurkonam,city,Kerala,India,8.61,76.86,88,122203
Andona,city,Kerala,India,11.4,75.94,187,6708
Anekal,city,Kerala,India,12.75,74.99,183,56910
Anekallu,city,Kerala,India,12.75,74.99,183,55696
Angadimograr,city,Kerala,India,12.63,75.02,78,53044
Angakaran Kshetram,city,Kerala,India,10.99,75.97,68,173195
Angamally,city,Kerala,India,10.2,76.4,104,131772
Angamali,city,Kerala,India,10.2,76.4,104,131772
Angadippuram,city,Kerala,India,10.97,76.22,255,213874
Angadipuram,city,Kerala,India,10.97,76.22,255,213874
Anicode Junction,city,Kerala,India,10.7,76.75,830,44018
Anije,city,Kerala,India,12.47,75.04,206,64124
Aniyaram,city,Kerala,India,11.74,75.58,127,142090
Anjanamukkund,city,Kerala,India,12.46,75.23,275,53907
Anjarkandi,city,Kerala,India,11.88,75.51,101,45242
Anjengo,city,Kerala,India,8.67,76.77,9,135718
Anjongo,city,Kerala,India,8.67,76.77,9,135718
Anjukudi,city,Kerala,India,10.95,75.88,3,114441
Anjur,city,Kerala,India,10.57,76.18,160,132706
Annantavur,city,Kerala,India,10.9,75.99,118,183764
Annapadi,city,Kerala,India,12.51,75.25,830,51806
Annara,city,Kerala,India,10.9,75.91,6,166601
Annassheri,city,Kerala,India,11.37,75.77,121,89607
Annur,city,Kerala,India,12.13,75.2,59,79483
Antur,city,Kerala,India,12.01,75.4,82,67628
Antur,city,Kerala,India,11.99,75.38,22,54582
Apichadka,city,Kerala,India,12.44,75.06,206,53351
Appanadka,city,Kerala,India,12.52,75.26,830,49158
Arakkilad,city,Kerala,India,11.63,75.61,203,147012
Aralam,city,Kerala,India,12.29,75.25,413,59014
Aralam,city,Kerala,India,11.97,75.74,288,43642
Aralam,city,Kerala,India,11.98,75.71,249,48736
Aralekadu,city,Kerala,India,12.37,75.14,328,63683
Aramballa,city,Kerala,India,12.42,75.14,387,53057
Arambram,city,Kerala,India,11.34,75.89,141,34719
Arangam,city,Kerala,India,12.25,75.48,830,55987
Arangam,city,Kerala,India,12.27,75.48,944,47879
Aranmula,city,Kerala,India,9.33,76.68,22,117270
Aravanadka,city,Kerala,India,12.52,75.17,216,53044
Aravancheri,city,Kerala,India,10.91,75.96,62,198174
Andona,city,Kerala,India,11.28,75.96,85,40762
Arichap,city,Kerala,India,12.47,75.18,830,53044
Arikadi,city,Kerala,India,12.61,74.94,65,38851
Arikkulam,city,Kerala,India,11.49,75.72,118,129123
Arikkad,city,Kerala,India,10.94,75.93,26,201787
Aril,city,Kerala,India,12.01,75.34,170,48090
Arimanal,city,Kerala,India,11.16,76.34,305,65959
Aringula,city,Kerala,India,12.75,74.91,32,62030
Ariyapadi,city,Kerala,India,12.49,75.1,137,54243
Arjyal,city,Kerala,India,11.79,75.84,2509,41349
Aroli,city,Kerala,India,11.95,75.36,3,35916
Arthikodel,city,Kerala,India,12.62,75.2,347,42844
Arthya,city,Kerala,India,12.53,75.23,347,51903
Arukizhaya,city,Kerala,India,11.1,76.14,141,97960
Arukutti,city,Kerala,India,9.87,76.35,6,84471
Arumalaivayal,city,Kerala,India,11.78,75.84,2509,43387
Aryakochi,city,Kerala,India,12.47,75.12,134,53044
Arikkod,city,Kerala,India,11.23,76.05,104,61168
Arur,city,Kerala,India,11.65,75.69,255,138918
Athalur,city,Kerala,India,10.83,75.98,6,221897
Athirssheri,city,Kerala,India,10.97,75.96,72,186955
Attadappa,city,Kerala,India,11.86,75.44,196,31976
Attancheri,city,Kerala,India,11.9,75.77,830,40948
Attapady,city,Kerala,India,11.07,76.56,1912,25777
Attappadi,city,Kerala,India,11.07,76.56,1912,25777
Attingal,city,Kerala,India,8.69,76.82,55,212413
Attiyode,city,Kerala,India,11.53,75.84,830,119243
Attungal,city,Kerala,India,8.69,76.82,55,212413
